state,zipcode,city,agegroup,gender,employment,occupation,template,spanish,extra_qualifs,internshipflag,customerservice,cpr,techskills,wpm,grammar,college,employeemonth,volunteer,skill,callback,adtitle,type
Massachusetts,1,boston,2,0,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,custom jewelry repair shop,MH
Massachusetts,3,boston,3,0,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,custom jewelry repair shop,OBE
Massachusetts,2,boston,1,0,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,custom jewelry repair shop,Y
New York,2,new york,1,0,0,sales, B,0,1,0,1,0,0,0,0,1,1,1,1,0,part time pharmacy tech sales associate,Y
New York,3,new york,3,0,0,sales, A,1,1,0,1,0,0,0,0,1,0,1,1,0,part time pharmacy tech sales associate,OBE
New York,1,new york,3,0,0,sales, C,0,1,0,1,0,0,0,1,1,1,0,1,0,part time pharmacy tech sales associate,OBL
Florida,3,sarasota,1,0,0,security, A,0,0,0,0,0,0,0,0,0,0,0,0,0,armed security part time sunday & monday am to pm,Y
Florida,1,sarasota,3,0,0,security, C,0,0,0,0,0,0,0,0,0,0,0,0,1,armed security part time sunday & monday am to pm,OBE
Florida,2,sarasota,2,0,0,security, B,0,0,0,0,0,0,0,0,0,0,0,0,1,armed security part time sunday & monday am to pm,ML
California,2,los angeles,2,0,1,security, A,1,1,0,0,0,0,0,1,0,1,1,1,0,armed guards needed,MH
California,3,los angeles,3,0,1,security, C,0,1,0,0,1,0,0,1,1,1,0,1,0,armed guards needed,OL
California,1,los angeles,1,0,1,security, B,1,1,0,0,1,0,0,1,0,1,0,1,0,armed guards needed,Y
Massachusetts,2,boston,1,0,1,security, B,0,0,0,0,0,0,0,0,0,0,0,0,0,immediate security guard positions available,Y
Massachusetts,1,boston,3,0,1,security, C,0,0,0,0,0,0,0,0,0,0,0,0,0,immediate security guard positions available,OL
Massachusetts,3,boston,3,0,1,security, A,0,0,0,0,0,0,0,0,0,0,0,0,0,immediate security guard positions available,OBE
California,3,los angeles,3,1,1,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,toy store sales associate wanted,OBL
California,2,los angeles,1,1,1,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,toy store sales associate wanted,Y
California,1,los angeles,2,1,1,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,toy store sales associate wanted,MB
California,2,los angeles,1,1,1,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,female male vapetender,Y
California,3,los angeles,3,1,1,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,female male vapetender,OBL
California,1,los angeles,2,1,1,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,female male vapetender,MB
Arizona,2,phoenix,1,1,1,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,sales operations specialist,Y
Arizona,1,phoenix,3,1,1,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,sales operations specialist,OBL
Arizona,3,phoenix,2,1,1,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,sales operations specialist,MH
Massachusetts,2,boston,1,0,1,security, A,0,0,0,0,0,0,0,0,0,0,0,0,1,overnight security guard,Y
Massachusetts,3,boston,2,0,1,security, B,0,0,0,0,0,0,0,0,0,0,0,0,0,overnight security guard,MB
Massachusetts,1,boston,2,0,1,security, C,0,0,0,0,0,0,0,0,0,0,0,0,0,overnight security guard,MH
Michigan,3,birmingham,2,1,0,admin, B,0,1,0,0,0,0,1,1,0,1,1,1,0, part time receptionist,ML
Michigan,1,birmingham,2,1,0,admin, A,1,1,0,0,0,0,1,0,0,1,1,1,1, part time receptionist,MH
Michigan,2,birmingham,1,1,0,admin, C,1,1,0,0,0,0,1,1,0,0,1,1,1, part time receptionist,Y
New York,2,new york,3,1,1,sales, A,1,0,0,1,0,0,0,0,1,1,1,1,0,high end home furnishings sales associates,OBL
New York,3,new york,1,1,1,sales, B,1,0,0,1,0,0,0,1,0,1,1,1,0,high end home furnishings sales associates,Y
New York,1,new york,3,1,1,sales, C,0,1,0,1,0,0,0,1,0,1,1,1,0,high end home furnishings sales associates,OBE
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0, medical front back office receptionist clerical admin position,OBE
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0, medical front back office receptionist clerical admin position,MB
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0, medical front back office receptionist clerical admin position,Y
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,admininstrator part time,Y
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,admininstrator part time,OBE
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,admininstrator part time,MB
Michigan,1,birmingham,1,1,1,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,1,office help lead generation,Y
